NumCarte,Montant,OperationType,Date,Devise
4974018502231026,5024,DepotGuichet,2025-03-13 12:34:13,FKP
4974018502231014,6407,RetraitDAB,2025-03-13 12:34:16,SRD
4974018502231000,4559,RetraitDAB,2025-03-13 12:34:19,TZS
4974018502231019,1530,FactureCB,2025-03-13 12:34:22,SDG
4974018502231026,8013,DepotGuichet,2025-03-13 12:34:25,KYD
4974018502231016,3267,DepotGuichet,2025-03-13 12:34:28,LAK
4974018502231026,5257,DepotGuichet,2025-03-13 12:34:31,SRD
4974018502231007,306,FactureCB,2025-03-13 12:34:34,TZS
4974018502231026,5181,FactureCB,2025-03-13 12:34:37,SSP
4974018502231039,3471,RetraitDAB,2025-03-13 12:34:40,VND
